========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'grinding_and_finishing_v0' (in recipe 'recipe_drive_assembly_v0') input 'rough_part' has null/zero quantity
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Bootstrap import (circular): sodium_hydroxide (path: salt_contingency_nacl -> battery_pack_large -> sodium_hydroxide -> sodium_chloride -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide)
  ! Bootstrap import (circular): sodium_chloride (path: salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Bootstrap import (circular): sodium_chloride (path: salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Bootstrap import (circular): sodium_chloride (path: salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> hydrogen_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Recipe 'recipe_graphite_block_material_v0' for 'graphite_block_material_v0' has no inputs
  ! Recipe 'recipe_nitrogen_gas_v0' not found for item 'nitrogen_gas'
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Bootstrap import (circular): sodium_hydroxide (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> sodium_hydroxide -> sodium_chloride -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> hydrogen_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Item 'electrode_grid_set' has no recipe and is not a raw material
  ! Recipe 'recipe_powder_metal_or_ceramic_v0' for 'powder_metal_or_ceramic' has no inputs
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Bootstrap import (circular): sodium_hydroxide (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> sodium_hydroxide -> sodium_chloride -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> hydrogen_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Bootstrap import (circular): sodium_hydroxide (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> positive_electrode_pressed -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> sodium_hydroxide)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> positive_electrode_pressed -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> positive_electrode_pressed -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> positive_electrode_pressed -> electrode_materials -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> hydrogen_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Item 'electrode_grid_set' has no recipe and is not a raw material
  ! Recipe 'recipe_powder_metal_or_ceramic_v0' for 'powder_metal_or_ceramic' has no inputs
  ! Process 'nickel_extraction_meteorite_v0' (in recipe 'recipe_nickel_metal_import_v0') input 'meteorite_iron' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_oxygen_gas_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Bootstrap import (circular): sodium_hydroxide (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> negative_electrode_pressed -> binder_simple -> sodium_hydroxide -> sodium_chloride -> sodium_hydroxide)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> negative_electrode_pressed -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> negative_electrode_pressed -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> chlorine_gas -> sodium_chloride)
  ! Bootstrap import (circular): sodium_chloride (path: electrodes_nife_set -> salt_contingency_nacl -> battery_pack_large -> electrode_mix_nife -> electrode_materials -> negative_electrode_pressed -> binder_simple -> sodium_hydroxide -> sodium_chloride -> hydrochloric_acid -> hydrogen_gas -> sodium_chloride)
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_water_v0' for 'water' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_lunar_regolith_raw_v0' for 'lunar_regolith_raw' has no inputs
  ! Recipe 'recipe_coating_compound_v0' for 'coating_compound' has no inputs
  ! Recipe 'recipe_potassium_hydroxide_v0' for 'potassium_hydroxide' has no inputs
  ! Process 'battery_cell_assembly_v0' (in recipe 'recipe_battery_pack_large_v0') input 'battery_cell_casing' has null/zero quantity
  ! Process 'welding_and_fabrication_v0' (in recipe 'recipe_battery_pack_large_v0') input 'sheet_metal_or_structural_steel' has null/zero quantity
  ! Process 'electrical_testing_basic_v0' (in recipe 'recipe_battery_pack_large_v0') input 'assembled_electrical_equipment' has null/zero quantity
  ! Process 'cutting_basic_v0' (in recipe 'recipe_cargo_platform_assembly_v0') input 'stock_material' has null/zero quantity
  ! Recipe 'recipe_filler_wire_basic_v0' for 'filler_wire_basic' has no inputs
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Recipe 'recipe_sensor_suite_general_v0' for 'sensor_suite_general' has no inputs

================================================================================


================================================================================
CLOSURE ANALYSIS: Coil winding machine (coil_winding_machine)
================================================================================

Machine Total Mass: 120.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):        4.30 kg  ( 68.2%)
  Imported:                    2.00 kg  ( 31.8%)
  Unresolved:                  0.00 kg  (  0.0%)
  ────────────────────────────────────────
  Total Calculated:            6.30 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  raw_ore_or_regolith                                        4.14 kg       4.14 kg
  regolith_raw                                               0.16 kg       0.16 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  control_compute_module_imported                         1.00 count       2.00 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Process 'welding_and_fabrication_v0' (in recipe 'recipe_machine_frame_small_v0') input 'sheet_metal_or_structural_steel' has null/zero quantity
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'sensor_integration_v0' (in recipe 'recipe_turn_counter_module_v0') input 'sensor_suite_general' has null/zero quantity
  ! Process 'forging_bearing_ring_blanks_v0' (in recipe 'recipe_bearing_ring_blanks_v0') input 'steel_stock_bar_or_billet' has null/zero quantity
  ! Process 'cutting_basic_v0' (in recipe 'recipe_cut_parts_v0') input 'stock_material' has null/zero quantity

================================================================================


================================================================================
CLOSURE ANALYSIS: Alignment tools (alignment_tools)
================================================================================

Machine Total Mass: 12.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):        0.00 kg  (  0.0%)
  Imported:                    4.00 kg  ( 26.7%)
  Unresolved:                 11.00 kg  ( 73.3%)
  ────────────────────────────────────────
  Total Calculated:           15.00 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  laser_alignment_system_imported                         1.00 count       4.00 kg

UNRESOLVED ITEMS (Missing recipes or definitions):
--------------------------------------------------------------------------------
  straightedge_precision                                  2.00 count       4.00 kg
  magnetic_base_set                                       2.00 count       3.00 kg
  optical_square_set                                      1.00 count       2.00 kg
  dial_indicator_set                                      1.00 count       2.00 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Recipe 'recipe_straightedge_precision_v0' for 'straightedge_precision' has no inputs
  ! Recipe 'recipe_optical_square_set_v0' for 'optical_square_set' has no inputs
  ! Recipe 'recipe_dial_indicator_set_v0' for 'dial_indicator_set' has no inputs
  ! Recipe 'recipe_magnetic_base_set_v0' for 'magnetic_base_set' has no inputs
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity

================================================================================


================================================================================
CLOSURE ANALYSIS: Thermionic converter v0 (thermionic_converter_v0)
================================================================================

Machine Total Mass: 45.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):        0.00 kg  (  0.0%)
  Imported:                    0.00 kg  (  0.0%)
  Unresolved:                  0.50 kg  (100.0%)
  ────────────────────────────────────────
  Total Calculated:            0.50 kg

UNRESOLVED ITEMS (Missing recipes or definitions):
--------------------------------------------------------------------------------
  tungsten_powder                                            0.40 kg       0.40 kg
  cesium_ampule                                            1.00 unit       0.10 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Process 'powder_processing_v0' (in recipe 'recipe_ceramic_tube_body_v0') input 'powder_metal_or_ceramic' has null/zero quantity
  ! Process 'powder_processing_v0' (in recipe 'recipe_ceramic_tube_body_v0') input 'binder_material' has null/zero quantity
  ! Process 'ceramic_forming_v0' (in recipe 'recipe_ceramic_tube_body_v0') input 'ceramic_powder_mixture' has null/zero quantity
  ! Process 'ceramic_forming_v0' (in recipe 'recipe_ceramic_tube_body_v0') input 'water' has null/zero quantity
  ! Process 'sintering_basic_v0' (in recipe 'recipe_ceramic_tube_body_v0') input 'powder_metal_or_ceramic' has null/zero quantity
  ! Recipe 'recipe_tungsten_powder_v0' for 'tungsten_powder' has no inputs
  ! Process 'sintering_basic_v0' (in recipe 'recipe_refractory_metal_electrodes_v0') input 'powder_metal_or_ceramic' has null/zero quantity
  ! Process 'ceramic_forming_v0' (in recipe 'recipe_ceramic_insulators_v0') input 'ceramic_powder_mixture' has null/zero quantity
  ! Process 'ceramic_forming_v0' (in recipe 'recipe_ceramic_insulators_v0') input 'water' has null/zero quantity
  ! Process 'surface_finishing_basic_v0' (in recipe 'recipe_ceramic_insulators_v0') input 'rough_part' has null/zero quantity
  ! Recipe 'recipe_cesium_ampule_v0' for 'cesium_ampule' has no inputs

================================================================================


================================================================================
CLOSURE ANALYSIS: Specialist labor bot v0 (labor_bot_specialist_v0)
================================================================================

Machine Total Mass: 180.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):      115.12 kg  ( 97.9%)
  Imported:                    2.00 kg  (  1.7%)
  Unresolved:                  0.50 kg  (  0.4%)
  ────────────────────────────────────────
  Total Calculated:          117.62 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  raw_ore_or_regolith                                      101.05 kg     101.05 kg
  regolith_raw                                              14.07 kg      14.07 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  control_compute_module_imported                         1.00 count       2.00 kg

UNRESOLVED ITEMS (Missing recipes or definitions):
--------------------------------------------------------------------------------
  base_grease_stock_v0                                       0.25 kg       0.25 kg
  high_temp_additive_v0                                      0.25 kg       0.25 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'welding_brazing_basic_v0' (in recipe 'recipe_part_support_frame_welded_v0') input 'cast_metal_parts' has null/zero quantity
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'forging_bearing_ring_blanks_v0' (in recipe 'recipe_bearing_ring_blanks_v0') input 'steel_stock_bar_or_billet' has null/zero quantity
  ! Process 'cutting_basic_v0' (in recipe 'recipe_cut_parts_v0') input 'stock_material' has null/zero quantity
  ! Recipe 'recipe_base_grease_stock_v0' for 'base_grease_stock_v0' has no inputs
  ! Recipe 'recipe_high_temp_additive_v0' for 'high_temp_additive_v0' has no inputs
  ! Process 'alignment_and_testing_basic_v0' (in recipe 'recipe_bearing_set_heavy_v0') input 'assembled_equipment' has null/zero quantity
  ! Process 'forging_bearing_ring_blanks_v0' (in recipe 'recipe_bearing_ring_blanks_v0') input 'steel_stock_bar_or_billet' has null/zero quantity
  ! Process 'cutting_basic_v0' (in recipe 'recipe_cut_parts_v0') input 'stock_material' has null/zero quantity
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'forging_bearing_ring_blanks_v0' (in recipe 'recipe_bearing_ring_blanks_v0') input 'steel_stock_bar_or_billet' has null/zero quantity
  ! Process 'cutting_basic_v0' (in recipe 'recipe_cut_parts_v0') input 'stock_material' has null/zero quantity
  ! Recipe 'recipe_base_grease_stock_v0' for 'base_grease_stock_v0' has no inputs
  ! Recipe 'recipe_high_temp_additive_v0' for 'high_temp_additive_v0' has no inputs
  ! Process 'alignment_and_testing_basic_v0' (in recipe 'recipe_bearing_set_heavy_v0') input 'assembled_equipment' has null/zero quantity

================================================================================


================================================================================
CLOSURE ANALYSIS: Magnetic separator drum v0 (magnetic_separator_drum_v0)
================================================================================

Machine Total Mass: 750.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):      130.01 kg  ( 28.4%)
  Imported:                    2.00 kg  (  0.4%)
  Unresolved:                325.60 kg  ( 71.2%)
  ────────────────────────────────────────
  Total Calculated:          457.61 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  raw_ore_or_regolith                                      115.93 kg     115.93 kg
  regolith_raw                                              14.07 kg      14.07 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  control_compute_module_imported                         1.00 count       2.00 kg

UNRESOLVED ITEMS (Missing recipes or definitions):
--------------------------------------------------------------------------------
  vibratory_feeder_v0                                      1.00 unit     320.00 kg
  sensor_suite_general                                    1.00 count       5.00 kg
  base_grease_stock_v0                                       0.30 kg       0.30 kg
  high_temp_additive_v0                                      0.30 kg       0.30 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
