========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
lab                                              60.0 kg      99.6%       0.4%       0.0%
wire_arc_additive_machine                      1800.0 kg       0.0%       0.4%      99.6%
wire_arc_additive_machine_v0                    850.0 kg       0.0%       0.4%      99.6%
self_description_tape_system_v0                 100.0 kg      97.5%       0.3%       2.2%
conveyor_belt_small                             120.0 kg      70.4%       0.2%      29.4%
ebf3_wire_feed_machine_v0                       400.0 kg      32.0%       0.2%      67.8%
vacuum_pump_station                              40.0 kg      87.9%       0.2%      11.9%
inert_atmosphere_system                         100.0 kg       0.0%       0.2%      99.8%
sabatier_reactor_co2_reduction_v0               150.0 kg      15.6%       0.2%      84.2%
drying_oven                                     120.0 kg      18.6%       0.1%      81.2%
solar_thermal_storage_system_v0                2000.0 kg       2.4%       0.1%      97.4%
milling_machine_cnc                            1200.0 kg      48.5%       0.1%      51.3%
water_auger_dryer_ladi_v0                       300.0 kg      95.6%       0.1%       4.3%
loom_or_knitting_machine                        120.0 kg      37.9%       0.1%      62.0%
core_memory_threading_machine_v0                200.0 kg      99.3%       0.1%       0.6%
lattice_builder_gantry_robot_v0                1100.0 kg      99.4%       0.1%       0.5%
powder_quality_analysis_v0                       30.0 kg      46.3%       0.1%      53.7%
formation_rack                                  400.0 kg      88.0%       0.1%      11.9%
optical_microscope_v0                            15.0 kg      46.7%       0.1%      53.2%
blast_furnace_or_smelter                       5000.0 kg      99.9%       0.1%       0.0%
refining_furnace                               1200.0 kg       0.0%       0.1%      99.9%
refining_furnace_v0                             900.0 kg       0.0%       0.1%      99.9%
regolith_brick_press_hydraulic_v0              2000.0 kg      66.1%       0.1%      33.9%
microstructure_analysis_system_v0               120.0 kg      42.0%       0.0%      58.0%
ant_colony_optimization_v0                       20.0 kg      99.2%       0.0%       0.8%
roasting_furnace_v0                             900.0 kg      21.5%       0.0%      78.5%
chemical_reactor_basic                          500.0 kg      97.4%       0.0%       2.5%
hydraulic_press_small                           150.0 kg       1.8%       0.0%      98.2%
low_temp_oven                                   300.0 kg      99.9%       0.0%       0.1%
molding_press_basic                             300.0 kg       3.5%       0.0%      96.5%
neims_control_system_v0                           2.0 kg      99.9%       0.0%       0.0%
hydraulic_press                                 600.0 kg      10.9%       0.0%      89.1%
kiln_basic                                      800.0 kg     100.0%       0.0%       0.0%
pcb_fab_station                                 350.0 kg       0.0%       0.0%     100.0%
lens_machine_lunar_v0                           600.0 kg       0.0%       0.0%       0.0%
cement_mixer_small                              120.0 kg      99.5%       0.0%       0.5%
fabrication_station                             100.0 kg       0.0%       0.0%       0.0%
lattice_builder_gantry_v0                      1200.0 kg       0.0%       0.0%       0.0%
machine_vision_processing_v0_v0                   6.0 kg       0.0%       0.0%     100.0%
ffc_reactor_enhanced_v0                        1200.0 kg       0.0%       0.0%     100.0%
welding_arc_welder_v0                            45.0 kg      99.4%       0.0%       0.6%
solar_array_cleaning_brush_v0                    25.0 kg       0.0%       0.0%     100.0%
tube_bender                                     200.0 kg     100.0%       0.0%       0.0%
bending_machine_v0                              900.0 kg       0.0%       0.0%       0.0%
rock_crusher_basic                              500.0 kg      63.2%       0.0%      36.8%
heat_pipe_solar_receiver_v0                     150.0 kg       0.0%       0.0%       0.0%
roll_grinding_lathe_or_cylindrical_grinder_v0        600.0 kg      99.6%       0.0%       0.4%
pcb_fab_equipment                               250.0 kg       0.0%       0.0%     100.0%
screening_equipment_v0                           60.0 kg     100.0%       0.0%       0.0%
pressure_test_rig_basic_v0                      600.0 kg      52.5%       0.0%      47.5%
heat_pipe_receiver_v0                            60.0 kg      98.8%       0.0%       1.2%
gear_hobbing_machine_v0                         900.0 kg      15.9%       0.0%      84.1%
cell_sealer_station                             250.0 kg       9.5%       0.0%      90.5%
plate_rolling_mill                             1500.0 kg     100.0%       0.0%       0.0%
hydraulic_power_unit_basic                      150.0 kg      98.4%       0.0%       1.6%
power_supply_bench                               25.0 kg       1.8%       0.0%      98.2%
cooling_chamber_controlled                      150.0 kg     100.0%       0.0%       0.0%
slm_machine_lunar_v0                            500.0 kg       0.0%       0.0%       0.0%
pressure_test_rig_basic                         600.0 kg      52.5%       0.0%      47.5%
cutting_tools_general                            30.0 kg       0.0%       0.0%     100.0%
scara_robot_v0                                   60.0 kg      98.8%       0.0%       1.2%
dust_collection_system                          180.0 kg      99.6%       0.0%       0.4%
cryocooler_active_v0                             25.0 kg       0.0%       0.0%       0.0%
press_brake_or_roller                           300.0 kg      46.5%       0.0%      53.5%
press_brake                                    1200.0 kg      66.0%       0.0%      34.0%
magnetic_separator                              120.0 kg       0.0%       0.0%       0.0%
microwave_sintering_equipment_v0                120.0 kg       0.0%       0.0%       0.0%
tensile_test_machine_v0                         350.0 kg       0.0%       0.0%       0.0%
optical_comparator_v0                            80.0 kg      79.6%       0.0%      20.4%
furnace_basic                                   300.0 kg       0.0%       0.0%       0.0%
drilling_equipment_v0                           500.0 kg      97.5%       0.0%       2.5%
