========================================================================================================================
CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
wire_arc_additive_machine                      1800.0 kg       0.0%     100.0%       0.0%
yn_mlp_network_hardware_v0                       40.0 kg       0.0%     100.0%       0.0%
electrolysis_cell_unit_v0                        25.0 kg       0.0%     100.0%       0.0%
coil_winding_machine_v0                         120.0 kg       0.0%     100.0%       0.0%
coordinate_measuring_machine_v0                 900.0 kg       0.0%     100.0%       0.0%
refractory_installation_tools                    10.0 kg       0.0%     100.0%       0.0%
tube_sealing_torch                               25.0 kg       0.0%     100.0%       0.0%
loader_small                                   5000.0 kg       0.0%     100.0%       0.0%
molding_press_v0                               1500.0 kg       0.0%     100.0%       0.0%
fms_control_system_v0                            25.0 kg       0.0%     100.0%       0.0%
glass_furnace_v0                               1400.0 kg       0.0%     100.0%       0.0%
plastic_extruder_v0                             250.0 kg       0.0%     100.0%       0.0%
robot_gripper_multi_finger_v0                     6.0 kg       0.0%     100.0%       0.0%
coating_station_v0                              120.0 kg       0.0%     100.0%       0.0%
reactor_heating_cooling_system_v0               800.0 kg       0.0%     100.0%       0.0%
metal_powder_sieving_system_v0                   60.0 kg       0.0%     100.0%       0.0%
crystallization_unit_v0                         500.0 kg       0.0%     100.0%       0.0%
heating_system_low_temp                         120.0 kg       0.0%     100.0%       0.0%
precision_lathe                                1200.0 kg       0.0%     100.0%       0.0%
sabatier_reactor_co2_reduction_v0               150.0 kg       0.0%     100.0%       0.0%
cnc_mill_v0                                     600.0 kg       0.0%     100.0%       0.0%
brazing_furnace_v0                              350.0 kg       0.0%     100.0%       0.0%
vibrating_screen_v0                             180.0 kg       0.0%     100.0%       0.0%
precision_stage                                  75.0 kg       0.0%     100.0%       0.0%
cryogenic_chiller_provider_v0                   600.0 kg       0.0%     100.0%       0.0%
ebm_machine_lunar_v0                           1800.0 kg       0.0%     100.0%       0.0%
surface_treatment_station                       300.0 kg       0.0%     100.0%       0.0%
excavator_basic                                3000.0 kg       0.0%     100.0%       0.0%
basic_fabrication_station                       450.0 kg       0.0%     100.0%       0.0%
chemical_reactor_unit_v1                        220.0 kg       0.0%     100.0%       0.0%
universal_turing_machine_lunar_v0               500.0 kg       0.0%     100.0%       0.0%
measurement_equipment                            30.0 kg       0.0%     100.0%       0.0%
encapsulation_station                            80.0 kg       0.0%     100.0%       0.0%
molding_press                                   300.0 kg       0.0%     100.0%       0.0%
rolling_mill_v0                                1200.0 kg       0.0%     100.0%       0.0%
carbon_safety_system_v0                          60.0 kg       0.0%     100.0%       0.0%
conveyor_belt_small                             120.0 kg       0.0%     100.0%       0.0%
extraction_unit                                 200.0 kg       0.0%     100.0%       0.0%
hot_wire_cutter_v0                               40.0 kg       0.0%     100.0%       0.0%
carbonyl_safety_system_v0_v0                     60.0 kg       0.0%     100.0%       0.0%
carbonyl_safety_system_v0                        60.0 kg       0.0%     100.0%       0.0%
resource_3d_printer_basic_v0                    100.0 kg       0.0%     100.0%       0.0%
self_description_tape_system_v0                 100.0 kg       0.0%     100.0%       0.0%
ratslam_hardware_implementation_v0                3.0 kg       0.0%     100.0%       0.0%
cnc_mill                                        600.0 kg       0.0%     100.0%       0.0%
precision_grinding_system_v0                    600.0 kg       0.0%     100.0%       0.0%
heating_plate_or_induction_heater                25.0 kg       0.0%     100.0%       0.0%
drill_press                                     100.0 kg       0.0%     100.0%       0.0%
crusher_basic                                   600.0 kg       0.0%     100.0%       0.0%
vapor_capture_system_v0                          80.0 kg       0.0%     100.0%       0.0%
wire_arc_additive_machine_v0                    850.0 kg       0.0%     100.0%       0.0%
insulation_resistance_tester                      6.0 kg       0.0%     100.0%       0.0%
