========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
power_unit                                      100.0 kg     100.0%       0.0%       0.0%
ant_colony_optimization_v0                       20.0 kg     100.0%       0.0%       0.0%
hauler_v0                                      8000.0 kg     100.0%       0.0%       0.0%
hauler                                         8000.0 kg     100.0%       0.0%       0.0%
molding_press_basic                             300.0 kg     100.0%       0.0%       0.0%
metal_shear_or_saw                              350.0 kg     100.0%       0.0%       0.0%
solar_tracking_optional                         150.0 kg     100.0%       0.0%       0.0%
resource_3d_printer_basic_v0                    100.0 kg     100.0%       0.0%       0.0%
resource_3d_printer_cartesian_v0_machine        120.0 kg     100.0%       0.0%       0.0%
milling_machine_general_v0                      600.0 kg     100.0%       0.0%       0.0%
milling_machine_v0                              850.0 kg     100.0%       0.0%       0.0%
labor_bot_specialist_v0                         180.0 kg     100.0%       0.0%       0.0%
tube_sealing_torch                               25.0 kg     100.0%       0.0%       0.0%
brazing_furnace_v0                              350.0 kg     100.0%       0.0%       0.0%
kapvik_microrover_30kg_v0                        30.0 kg     100.0%       0.0%       0.0%
signal_generator                                 25.0 kg     100.0%       0.0%       0.0%
heating_plate_or_induction_heater                25.0 kg     100.0%       0.0%       0.0%
electrical_test_equipment                        40.0 kg     100.0%       0.0%       0.0%
kiln_ceramic                                    400.0 kg     100.0%       0.0%       0.0%
vacuum_pump_station                              40.0 kg     100.0%       0.0%       0.0%
cartesian_gantry_assembler_v0                   200.0 kg     100.0%       0.0%       0.0%
cartesian_gantry_assembler_robot_v0             300.0 kg     100.0%       0.0%       0.0%
bending_machine_v0                              900.0 kg     100.0%       0.0%       0.0%
press_brake_or_roller                           300.0 kg     100.0%       0.0%       0.0%
glove_box_or_dry_room                           200.0 kg     100.0%       0.0%       0.0%
refractory_installation_tools                    10.0 kg     100.0%       0.0%       0.0%
excavator_basic                                3000.0 kg     100.0%       0.0%       0.0%
low_temp_oven                                   300.0 kg     100.0%       0.0%       0.0%
curing_oven                                     400.0 kg     100.0%       0.0%       0.0%
magnetization_station_v0                         60.0 kg     100.0%       0.0%       0.0%
stepper_motor_v0                                  2.0 kg     100.0%       0.0%       0.0%
material_preparation_equipment                  200.0 kg     100.0%       0.0%       0.0%
molding_press_v0                               1500.0 kg     100.0%       0.0%       0.0%
molding_press                                   300.0 kg     100.0%       0.0%       0.0%
drying_oven                                     120.0 kg     100.0%       0.0%       0.0%
universal_constructor_system_v0                1000.0 kg     100.0%       0.0%       0.0%
refining_furnace                               1200.0 kg     100.0%       0.0%       0.0%
refining_furnace_v0                             900.0 kg     100.0%       0.0%       0.0%
vacuum_pump_small                                35.0 kg     100.0%       0.0%       0.0%
heating_system_low_temp                         120.0 kg     100.0%       0.0%       0.0%
water_electrolyzer_v0                           180.0 kg     100.0%       0.0%       0.0%
pressing_tools                                  150.0 kg     100.0%       0.0%       0.0%
cryogenic_separation_system_v0                  800.0 kg     100.0%       0.0%       0.0%
chemical_reactor_basic                          500.0 kg     100.0%       0.0%       0.0%
ammonia_recovery_unit_v0                        400.0 kg     100.0%       0.0%       0.0%
heat_pipe_receiver_v0                            60.0 kg     100.0%       0.0%       0.0%
scara_robot_v0                                   60.0 kg     100.0%       0.0%       0.0%
rover_communication_system_v0                   250.0 kg     100.0%       0.0%       0.0%
roasting_furnace_v0                             900.0 kg     100.0%       0.0%       0.0%
visual_odometry_system_v0_v0                      6.0 kg     100.0%       0.0%       0.0%
visual_odometry_system_v0                         6.0 kg     100.0%       0.0%       0.0%
punch_press_or_drill                            350.0 kg     100.0%       0.0%       0.0%
water_electrolysis_system_v0                    150.0 kg     100.0%       0.0%       0.0%
punch_press_drill                               400.0 kg     100.0%       0.0%       0.0%
